item,pic,title
http://www.wikidata.org/entity/Q17319735,http://commons.wikimedia.org/wiki/Special:FilePath/Latona%20en%20de%20Lycische%20boeren%20Rijksmuseum%20SK-A-70.jpeg,Latona and the Lycian Peasants
http://www.wikidata.org/entity/Q17319780,http://commons.wikimedia.org/wiki/Special:FilePath/Krijgslieden%20in%20een%20paardestal%20Rijksmuseum%20SK-A-93.jpeg,Soldiers in a Stable
http://www.wikidata.org/entity/Q17319788,http://commons.wikimedia.org/wiki/Special:FilePath/A.%20van%20Dyck%20Portrait%20of%20Nicolaes%20van%20der%20Borght%201625-1635.jpg,"Nicolaes van der Borght, Merchant of Antwerp"
http://www.wikidata.org/entity/Q17319734,http://commons.wikimedia.org/wiki/Special:FilePath/Rust%20op%20de%20vlucht%20naar%20Egypte%20Rijksmuseum%20SK-A-69.jpeg,Rest on the Flight into Egypt
http://www.wikidata.org/entity/Q17319773,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20Dou%20009.jpg,A Hermitin Prayer
http://www.wikidata.org/entity/Q17319786,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Dusart%20002.jpg,Country Kermis
http://www.wikidata.org/entity/Q17319783,http://commons.wikimedia.org/wiki/Special:FilePath/After%20Albrecht%20D%C3%BCrer%20001.jpg,Willibald Pirkheimer (1470-1530)
http://www.wikidata.org/entity/Q17319794,http://commons.wikimedia.org/wiki/Special:FilePath/Christus%20en%20de%20overspelige%20vrouw%20Rijksmuseum%20SK-A-106.jpeg,Christ and the Woman in Adultery
http://www.wikidata.org/entity/Q17319794,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20van%20den%20Eeckhout%20-%20Christus%20en%20de%20overspelige%20vrouw%20-%20B3021%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,Christ and the Woman in Adultery
http://www.wikidata.org/entity/Q17319805,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20Gaesbeeck%20-%20A%20Young%20Man%20in%20a%20Study.jpg,Young Man in a Study
http://www.wikidata.org/entity/Q17319806,http://commons.wikimedia.org/wiki/Special:FilePath/De%20aanbidding%20der%20koningen%20Rijksmuseum%20SK-A-114.jpeg,The Adoration of the Magi
http://www.wikidata.org/entity/Q17319764,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20%28Southern%20Netherlands%29%20Birds%20Fighting%20%28SK-A-80%29.jpg,Fighting Birds
http://www.wikidata.org/entity/Q17319779,http://commons.wikimedia.org/wiki/Special:FilePath/H.J.%20Dubbels%20-%20Riviergezicht%20-%20B750%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,River View
http://www.wikidata.org/entity/Q17319767,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20met%20herderin%20en%20vee%20Rijksmuseum%20SK-A-83.jpeg,Italian Landscape with Shepherdess and Flocks
http://www.wikidata.org/entity/Q17319742,http://commons.wikimedia.org/wiki/Special:FilePath/Aelbert%20Cuyp%20-%20Bergachtig%20landschap%20met%20kasteelru%C3%AFne.jpg,Mountainous Landscape with the Ruins of a Castle
http://www.wikidata.org/entity/Q17319731,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20-%20Gezicht%20op%20een%20stad%20aan%20een%20rivier.jpg,View of a City along a River
http://www.wikidata.org/entity/Q17319777,http://commons.wikimedia.org/wiki/Special:FilePath/Circle%20of%20Rembrandt%20001.jpg,Salome ontvangt het hoofd van Johannes de Doper
http://www.wikidata.org/entity/Q17319804,http://commons.wikimedia.org/wiki/Special:FilePath/Allegorie%20op%20de%20troonsafstand%20van%20keizer%20Karel%20V%20te%20Brussel%20Rijksmuseum%20SK-A-112.jpeg,Allegory on the Abdication of Emperor Charles V in Brussels
http://www.wikidata.org/entity/Q17319776,http://commons.wikimedia.org/wiki/Special:FilePath/G.%20Dou%20and%20N.%20Berchem%20Portrait%20of%20a%20couple%201630-1675.jpg,Portrait of a Couple in a Landscape
http://www.wikidata.org/entity/Q17319736,http://commons.wikimedia.org/wiki/Special:FilePath/Selene%20en%20Endymion%20Rijksmuseum%20SK-A-71.jpeg,Selene and Endymion (formerly entitled The Death of Orion)
